class_name,train,valid,test,total,train_percentage,valid_percentage,test_percentage
football,160,20,21,201,79.6,9.95,10.45
formula 1 racing,160,20,20,200,80.0,10.0,10.0
nascar racing,159,19,21,199,79.9,9.55,10.55
baseball,147,18,19,184,79.89,9.78,10.33
hockey,145,18,19,182,79.67,9.89,10.44
basketball,143,17,19,179,79.89,9.5,10.61
olympic wrestling,141,17,19,177,79.66,9.6,10.73
rugby,140,17,19,176,79.55,9.66,10.8
canoe slamon,139,17,18,174,79.89,9.77,10.34
roller derby,138,17,18,173,79.77,9.83,10.4
rollerblade racing,135,16,18,169,79.88,9.47,10.65
high jump,134,16,18,168,79.76,9.52,10.71
figure skating women,133,16,18,167,79.64,9.58,10.78
field hockey,133,16,18,167,79.64,9.58,10.78
golf,133,16,18,167,79.64,9.58,10.78
polo,133,16,18,167,79.64,9.58,10.78
rings,133,16,18,167,79.64,9.58,10.78
swimming,133,16,18,167,79.64,9.58,10.78
uneven bars,132,16,18,166,79.52,9.64,10.84
lacrosse,128,16,17,161,79.5,9.94,10.56
figure skating pairs,128,16,17,161,79.5,9.94,10.56
giant slalom,128,16,16,160,80.0,10.0,10.0
judo,128,16,16,160,80.0,10.0,10.0
shot put,127,15,17,159,79.87,9.43,10.69
bull riding,127,15,17,159,79.87,9.43,10.69
skydiving,126,15,17,158,79.75,9.49,10.76
snowmobile racing,125,15,17,157,79.62,9.55,10.83
balance beam,125,15,17,157,79.62,9.55,10.83
harness racing,125,15,17,157,79.62,9.55,10.83
billiards,124,15,16,155,80.0,9.68,10.32
sailboat racing,123,15,16,154,79.87,9.74,10.39
rowing,122,15,16,153,79.74,9.8,10.46
surfing,121,15,16,152,79.61,9.87,10.53
volleyball,121,15,16,152,79.61,9.87,10.53
curling,120,15,16,151,79.47,9.93,10.6
table tennis,120,15,16,151,79.47,9.93,10.6
rock climbing,120,15,16,151,79.47,9.93,10.6
bmx,120,15,15,150,80.0,10.0,10.0
horse racing,119,14,16,149,79.87,9.4,10.74
bobsled,118,14,16,148,79.73,9.46,10.81
pole vault,118,14,16,148,79.73,9.46,10.81
hurdles,116,14,16,146,79.45,9.59,10.96
speed skating,116,14,16,146,79.45,9.59,10.96
javelin,116,14,16,146,79.45,9.59,10.96
fencing,116,14,15,145,80.0,9.66,10.34
track bicycle,116,14,15,145,80.0,9.66,10.34
croquet,115,14,15,144,79.86,9.72,10.42
fly fishing,115,14,15,144,79.86,9.72,10.42
weightlifting,115,14,15,144,79.86,9.72,10.42
horse jumping,115,14,15,144,79.86,9.72,10.42
sidecar racing,114,14,15,143,79.72,9.79,10.49
sumo wrestling,114,14,15,143,79.72,9.79,10.49
jai alai,113,14,15,142,79.58,9.86,10.56
archery,113,14,15,142,79.58,9.86,10.56
motorcycle racing,113,14,15,142,79.58,9.86,10.56
parallel bar,112,14,15,141,79.43,9.93,10.64
cheerleading,112,14,15,141,79.43,9.93,10.64
tennis,112,14,15,141,79.43,9.93,10.64
frisbee,112,14,15,141,79.43,9.93,10.64
ice climbing,112,14,14,140,80.0,10.0,10.0
shuffleboard,112,14,14,140,80.0,10.0,10.0
ski jumping,112,14,14,140,80.0,10.0,10.0
water polo,112,14,14,140,80.0,10.0,10.0
cricket,111,13,15,139,79.86,9.35,10.79
figure skating men,110,13,15,138,79.71,9.42,10.87
tug of war,110,13,15,138,79.71,9.42,10.87
log rolling,110,13,15,138,79.71,9.42,10.87
luge,109,13,15,137,79.56,9.49,10.95
bungee jumping,108,13,14,135,80.0,9.63,10.37
trapeze,108,13,14,135,80.0,9.63,10.37
disc golf,106,13,14,133,79.7,9.77,10.53
barell racing,106,13,14,133,79.7,9.77,10.53
hammer throw,105,13,14,132,79.55,9.85,10.61
steer wrestling,105,13,14,132,79.55,9.85,10.61
hang gliding,104,13,14,131,79.39,9.92,10.69
bowling,104,13,13,130,80.0,10.0,10.0
pommel horse,104,13,13,130,80.0,10.0,10.0
chuckwagon racing,104,13,13,130,80.0,10.0,10.0
wheelchair racing,103,12,14,129,79.84,9.3,10.85
gaga,102,12,14,128,79.69,9.38,10.94
jousting,102,12,14,128,79.69,9.38,10.94
pole climbing,102,12,14,128,79.69,9.38,10.94
snow boarding,101,12,14,127,79.53,9.45,11.02
boxing,100,12,14,126,79.37,9.52,11.11
axe throwing,98,12,13,123,79.67,9.76,10.57
air hockey,97,12,13,122,79.51,9.84,10.66
pole dancing,97,12,13,122,79.51,9.84,10.66
ampute football,97,12,13,122,79.51,9.84,10.66
ice yachting,97,12,13,122,79.51,9.84,10.66
mushing,96,12,13,121,79.34,9.92,10.74
bike polo,96,12,12,120,80.0,10.0,10.0
hydroplane racing,94,11,13,118,79.66,9.32,11.02
baton twirling,94,11,13,118,79.66,9.32,11.02
wheelchair basketball,92,11,13,116,79.31,9.48,11.21
water cycling,90,11,12,113,79.65,9.73,10.62
horseshoe pitching,89,11,12,112,79.46,9.82,10.71
arm wrestling,87,10,12,109,79.82,9.17,11.01
wingsuit flying,86,10,12,108,79.63,9.26,11.11
ultimate,85,10,12,107,79.44,9.35,11.21
sky surfing,55,6,8,69,79.71,8.7,11.59
