class_name,train,valid,test,total,train_percentage,valid_percentage,test_percentage,above_mean,deviation_from_mean,deviation_percentage
football,160,20,21,201,79.6,9.95,10.45,True,56.08000000000001,38.7
formula 1 racing,160,20,20,200,80.0,10.0,10.0,True,55.08000000000001,38.01
nascar racing,159,19,21,199,79.9,9.55,10.55,True,54.08000000000001,37.32
baseball,147,18,19,184,79.89,9.78,10.33,True,39.08000000000001,26.97
hockey,145,18,19,182,79.67,9.89,10.44,True,37.08000000000001,25.59
basketball,143,17,19,179,79.89,9.5,10.61,True,34.08000000000001,23.52
olympic wrestling,141,17,19,177,79.66,9.6,10.73,True,32.08000000000001,22.14
rugby,140,17,19,176,79.55,9.66,10.8,True,31.080000000000013,21.45
canoe slamon,139,17,18,174,79.89,9.77,10.34,True,29.080000000000013,20.07
roller derby,138,17,18,173,79.77,9.83,10.4,True,28.080000000000013,19.38
rollerblade racing,135,16,18,169,79.88,9.47,10.65,True,24.080000000000013,16.62
high jump,134,16,18,168,79.76,9.52,10.71,True,23.080000000000013,15.93
figure skating women,133,16,18,167,79.64,9.58,10.78,True,22.080000000000013,15.24
field hockey,133,16,18,167,79.64,9.58,10.78,True,22.080000000000013,15.24
golf,133,16,18,167,79.64,9.58,10.78,True,22.080000000000013,15.24
polo,133,16,18,167,79.64,9.58,10.78,True,22.080000000000013,15.24
rings,133,16,18,167,79.64,9.58,10.78,True,22.080000000000013,15.24
swimming,133,16,18,167,79.64,9.58,10.78,True,22.080000000000013,15.24
uneven bars,132,16,18,166,79.52,9.64,10.84,True,21.080000000000013,14.55
lacrosse,128,16,17,161,79.5,9.94,10.56,True,16.080000000000013,11.1
figure skating pairs,128,16,17,161,79.5,9.94,10.56,True,16.080000000000013,11.1
giant slalom,128,16,16,160,80.0,10.0,10.0,True,15.080000000000013,10.41
judo,128,16,16,160,80.0,10.0,10.0,True,15.080000000000013,10.41
shot put,127,15,17,159,79.87,9.43,10.69,True,14.080000000000013,9.72
bull riding,127,15,17,159,79.87,9.43,10.69,True,14.080000000000013,9.72
skydiving,126,15,17,158,79.75,9.49,10.76,True,13.080000000000013,9.03
snowmobile racing,125,15,17,157,79.62,9.55,10.83,True,12.080000000000013,8.34
balance beam,125,15,17,157,79.62,9.55,10.83,True,12.080000000000013,8.34
harness racing,125,15,17,157,79.62,9.55,10.83,True,12.080000000000013,8.34
billiards,124,15,16,155,80.0,9.68,10.32,True,10.080000000000013,6.96
sailboat racing,123,15,16,154,79.87,9.74,10.39,True,9.080000000000013,6.27
rowing,122,15,16,153,79.74,9.8,10.46,True,8.080000000000013,5.58
surfing,121,15,16,152,79.61,9.87,10.53,True,7.0800000000000125,4.89
volleyball,121,15,16,152,79.61,9.87,10.53,True,7.0800000000000125,4.89
curling,120,15,16,151,79.47,9.93,10.6,True,6.0800000000000125,4.2
table tennis,120,15,16,151,79.47,9.93,10.6,True,6.0800000000000125,4.2
rock climbing,120,15,16,151,79.47,9.93,10.6,True,6.0800000000000125,4.2
bmx,120,15,15,150,80.0,10.0,10.0,True,5.0800000000000125,3.51
horse racing,119,14,16,149,79.87,9.4,10.74,True,4.0800000000000125,2.82
bobsled,118,14,16,148,79.73,9.46,10.81,True,3.0800000000000125,2.13
pole vault,118,14,16,148,79.73,9.46,10.81,True,3.0800000000000125,2.13
hurdles,116,14,16,146,79.45,9.59,10.96,True,1.0800000000000125,0.75
speed skating,116,14,16,146,79.45,9.59,10.96,True,1.0800000000000125,0.75
javelin,116,14,16,146,79.45,9.59,10.96,True,1.0800000000000125,0.75
fencing,116,14,15,145,80.0,9.66,10.34,True,0.0800000000000125,0.06
track bicycle,116,14,15,145,80.0,9.66,10.34,True,0.0800000000000125,0.06
croquet,115,14,15,144,79.86,9.72,10.42,False,-0.9199999999999875,-0.63
fly fishing,115,14,15,144,79.86,9.72,10.42,False,-0.9199999999999875,-0.63
weightlifting,115,14,15,144,79.86,9.72,10.42,False,-0.9199999999999875,-0.63
horse jumping,115,14,15,144,79.86,9.72,10.42,False,-0.9199999999999875,-0.63
sidecar racing,114,14,15,143,79.72,9.79,10.49,False,-1.9199999999999875,-1.32
sumo wrestling,114,14,15,143,79.72,9.79,10.49,False,-1.9199999999999875,-1.32
jai alai,113,14,15,142,79.58,9.86,10.56,False,-2.9199999999999875,-2.01
archery,113,14,15,142,79.58,9.86,10.56,False,-2.9199999999999875,-2.01
motorcycle racing,113,14,15,142,79.58,9.86,10.56,False,-2.9199999999999875,-2.01
parallel bar,112,14,15,141,79.43,9.93,10.64,False,-3.9199999999999875,-2.7
cheerleading,112,14,15,141,79.43,9.93,10.64,False,-3.9199999999999875,-2.7
tennis,112,14,15,141,79.43,9.93,10.64,False,-3.9199999999999875,-2.7
frisbee,112,14,15,141,79.43,9.93,10.64,False,-3.9199999999999875,-2.7
ice climbing,112,14,14,140,80.0,10.0,10.0,False,-4.9199999999999875,-3.39
shuffleboard,112,14,14,140,80.0,10.0,10.0,False,-4.9199999999999875,-3.39
ski jumping,112,14,14,140,80.0,10.0,10.0,False,-4.9199999999999875,-3.39
water polo,112,14,14,140,80.0,10.0,10.0,False,-4.9199999999999875,-3.39
cricket,111,13,15,139,79.86,9.35,10.79,False,-5.9199999999999875,-4.09
figure skating men,110,13,15,138,79.71,9.42,10.87,False,-6.9199999999999875,-4.78
tug of war,110,13,15,138,79.71,9.42,10.87,False,-6.9199999999999875,-4.78
log rolling,110,13,15,138,79.71,9.42,10.87,False,-6.9199999999999875,-4.78
luge,109,13,15,137,79.56,9.49,10.95,False,-7.9199999999999875,-5.47
bungee jumping,108,13,14,135,80.0,9.63,10.37,False,-9.919999999999987,-6.85
trapeze,108,13,14,135,80.0,9.63,10.37,False,-9.919999999999987,-6.85
disc golf,106,13,14,133,79.7,9.77,10.53,False,-11.919999999999987,-8.23
barell racing,106,13,14,133,79.7,9.77,10.53,False,-11.919999999999987,-8.23
hammer throw,105,13,14,132,79.55,9.85,10.61,False,-12.919999999999987,-8.92
steer wrestling,105,13,14,132,79.55,9.85,10.61,False,-12.919999999999987,-8.92
hang gliding,104,13,14,131,79.39,9.92,10.69,False,-13.919999999999987,-9.61
bowling,104,13,13,130,80.0,10.0,10.0,False,-14.919999999999987,-10.3
pommel horse,104,13,13,130,80.0,10.0,10.0,False,-14.919999999999987,-10.3
chuckwagon racing,104,13,13,130,80.0,10.0,10.0,False,-14.919999999999987,-10.3
wheelchair racing,103,12,14,129,79.84,9.3,10.85,False,-15.919999999999987,-10.99
gaga,102,12,14,128,79.69,9.38,10.94,False,-16.919999999999987,-11.68
jousting,102,12,14,128,79.69,9.38,10.94,False,-16.919999999999987,-11.68
pole climbing,102,12,14,128,79.69,9.38,10.94,False,-16.919999999999987,-11.68
snow boarding,101,12,14,127,79.53,9.45,11.02,False,-17.919999999999987,-12.37
boxing,100,12,14,126,79.37,9.52,11.11,False,-18.919999999999987,-13.06
axe throwing,98,12,13,123,79.67,9.76,10.57,False,-21.919999999999987,-15.13
air hockey,97,12,13,122,79.51,9.84,10.66,False,-22.919999999999987,-15.82
pole dancing,97,12,13,122,79.51,9.84,10.66,False,-22.919999999999987,-15.82
ampute football,97,12,13,122,79.51,9.84,10.66,False,-22.919999999999987,-15.82
ice yachting,97,12,13,122,79.51,9.84,10.66,False,-22.919999999999987,-15.82
mushing,96,12,13,121,79.34,9.92,10.74,False,-23.919999999999987,-16.51
bike polo,96,12,12,120,80.0,10.0,10.0,False,-24.919999999999987,-17.2
hydroplane racing,94,11,13,118,79.66,9.32,11.02,False,-26.919999999999987,-18.58
baton twirling,94,11,13,118,79.66,9.32,11.02,False,-26.919999999999987,-18.58
wheelchair basketball,92,11,13,116,79.31,9.48,11.21,False,-28.919999999999987,-19.96
water cycling,90,11,12,113,79.65,9.73,10.62,False,-31.919999999999987,-22.03
horseshoe pitching,89,11,12,112,79.46,9.82,10.71,False,-32.91999999999999,-22.72
arm wrestling,87,10,12,109,79.82,9.17,11.01,False,-35.91999999999999,-24.79
wingsuit flying,86,10,12,108,79.63,9.26,11.11,False,-36.91999999999999,-25.48
ultimate,85,10,12,107,79.44,9.35,11.21,False,-37.91999999999999,-26.17
sky surfing,55,6,8,69,79.71,8.7,11.59,False,-75.91999999999999,-52.39
